disease,gene,score
144.0,8775.0,0.28
144.0,5768.0,0.16
144.0,7566.0,0.3
144.0,2491.0,0.12
144.0,9134.0,0.22
144.0,9051.0,0.34
144.0,6333.0,0.14
144.0,8165.0,0.12
144.0,7565.0,0.24
144.0,9235.0,0.18
144.0,4897.0,0.1
144.0,4071.0,0.14
144.0,8822.0,0.22
144.0,2387.0,0.12
144.0,7705.0,0.46
144.0,8242.0,0.16
144.0,6215.0,0.1
144.0,5635.0,0.54
144.0,1215.0,0.24
144.0,8026.0,0.36
144.0,5687.0,0.52
144.0,6954.0,0.12
144.0,2204.0,0.2
144.0,7739.0,0.12
144.0,8117.0,0.6
144.0,5361.0,0.14
144.0,6688.0,0.34
144.0,1617.0,0.22
144.0,1899.0,0.14
144.0,5766.0,0.44
144.0,670.0,0.32
144.0,1715.0,0.12
144.0,4818.0,0.12
144.0,8565.0,0.32
144.0,2218.0,0.6
144.0,6538.0,0.12
144.0,3118.0,0.12
144.0,6434.0,0.14
144.0,7126.0,0.12
144.0,2535.0,0.26
144.0,4898.0,0.28
144.0,3769.0,0.12
144.0,4714.0,0.22
144.0,7306.0,0.22
144.0,4945.0,0.22
144.0,7777.0,0.68
144.0,4969.0,0.4
144.0,4575.0,0.24
144.0,278.0,0.24
144.0,485.0,0.18
144.0,1947.0,0.42
144.0,2281.0,0.6
144.0,6782.0,0.12
144.0,186.0,0.12
144.0,3627.0,0.16
144.0,7784.0,0.48
144.0,5292.0,0.24
144.0,8121.0,0.12
144.0,8346.0,0.26
144.0,5571.0,0.16
144.0,7889.0,0.24
144.0,59.0,0.18
144.0,293.0,0.22
144.0,4675.0,0.14
144.0,1791.0,0.34
144.0,5468.0,0.1
144.0,7765.0,0.14
144.0,7334.0,0.42
144.0,8080.0,0.16
144.0,6701.0,0.16
144.0,680.0,0.14
144.0,1683.0,0.12
144.0,6009.0,0.14
144.0,4769.0,0.12
144.0,4275.0,0.2
144.0,538.0,0.22
144.0,243.0,0.22
144.0,8018.0,0.44
144.0,7790.0,0.14
144.0,2971.0,0.12
144.0,210.0,0.14
144.0,3830.0,0.32
144.0,8402.0,0.2
144.0,5606.0,0.42
144.0,2649.0,0.16
144.0,2003.0,0.16
144.0,2556.0,0.26
144.0,4894.0,0.16
144.0,6416.0,0.16
144.0,4581.0,0.42
144.0,3910.0,0.6
144.0,6013.0,0.5
144.0,1759.0,0.18
144.0,2886.0,0.66
144.0,1290.0,0.18
144.0,2068.0,0.14
144.0,4758.0,0.28
144.0,3257.0,0.22
144.0,8681.0,0.24
144.0,2964.0,0.3
144.0,6479.0,0.14
144.0,3172.0,0.44
144.0,5505.0,0.38
144.0,4437.0,0.5
144.0,5734.0,0.14
144.0,795.0,0.3
